USPS,GEOID,ANSICODE,NAME,INTPTLAT,INTPTLONG,DRIVING_TIME,POP_1990,POP_2000,POP_2010,POP_2014,SNAP_2010,FOOD_INSECURITY,POVERTY
OH,39149,1074087,Shelby County,40.33668,-84.204142,2272,44915,48292,49423,48951,4798,13.60%,
OH,39151,1065576,Stark County,40.814131,-81.365667,1686,367585,378144,375584,375736,49995,15.90%,
OH,39153,1074088,Summit County,41.121851,-81.534936,517,514990,542849,541786,541943,73291,16.50%,
OH,39155,1074089,Trumbull County,41.308936,-80.767656,1627,227795,225105,210307,205175,29279,16.70%,
OH,39157,1074090,Tuscarawas County,40.447441,-81.471157,3572,8490,90919,92582,92788,12340,14.50%,
OH,39159,1074091,Union County,40.295901,-83.367042,2723,31969,40975,52267,53776,3440,12.10%,
OH,39161,1074092,Van Wert County,40.85552,-84.585775,2736,30464,29654,28744,28462,2817,13.60%,
OH,39163,1074093,Vinton County,39.252014,-82.485961,2262,1198,12809,13435,13234,3514,17.60%,
OH,39165,1074094,Warren County,39.425652,-84.169906,2043,113973,159551,212868,221659,8600,11.60%,
OH,39167,1074095,Washington County,39.450684,-81.490653,5791,62254,63242,61778,61213,7215,14.80%,
OH,39169,1074096,Wayne County,40.829661,-81.887194,2552,101461,111562,114514,115537,11409,13.80%,
OH,39171,1074097,Williams County,41.564958,-84.584323,4339,36956,39189,37642,37291,4845,14.20%,
OH,39173,1074098,Wood County,41.360183,-83.622682,1717,113269,12172,125488,129590,7660,14.80%,
OH,39175,1074099,Wyandot County,40.840122,-83.313172,3327,22254,22897,22615,22353,1862,14.10%,
